# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       3     0.29904     0.29904     0.29904    4.853676466    4.363012698   -0.490663768
     1       3     0.29192     0.29192     0.29192    4.856572900    4.365911832   -0.490661069
     1       3     0.28480     0.28480     0.28480    4.861403688    4.370842787   -0.490560901
     1       3     0.27768     0.27768     0.27768    4.868167860    4.378154941   -0.490012919
     1       3     0.27056     0.27056     0.27056    4.876863908    4.388187779   -0.488676129
     1       3     0.26344     0.26344     0.26344    4.887489637    4.401008552   -0.486481086
     1       3     0.25632     0.25632     0.25632    4.900016677    4.416439226   -0.483577451
     1       3     0.24920     0.24920     0.24920    4.914489069    4.434301770   -0.480187299
     1       3     0.24208     0.24208     0.24208    4.930954882    4.454447177   -0.476507705
     1       3     0.23496     0.23496     0.23496    4.949198069    4.476518358   -0.472679710
     1       3     0.22784     0.22784     0.22784    4.969388159    4.500590892   -0.468797267
     1       3     0.22072     0.22072     0.22072    4.991465601    4.526533252   -0.464932350
     1       3     0.21360     0.21360     0.21360    5.015520067    4.554355715   -0.461164352
     1       3     0.20648     0.20648     0.20648    5.041323517    4.583715283   -0.457608234
