# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       3     0.12599     0.18233     0.17612  -19.257936018  -26.596274404   -7.338338386
     1       3     0.13033     0.18862     0.18220  -19.263720695  -26.605271910   -7.341551216
     1       3     0.13468     0.19491     0.18827  -19.268123312  -26.611062507   -7.342939195
     1       3     0.13902     0.20119     0.19434  -19.271227945  -26.614533251   -7.343305307
     1       3     0.14337     0.20748     0.20042  -19.272394142  -26.615798222   -7.343404080
     1       3     0.14771     0.21377     0.20649  -19.271993399  -26.615385836   -7.343392436
     1       3     0.15206     0.22006     0.21256  -19.269456932  -26.612774995   -7.343318063
     1       3     0.15640     0.22634     0.21863  -19.264689189  -26.607628937   -7.342939748
     1       3     0.16074     0.23263     0.22471  -19.257281177  -26.598343508   -7.341062331
     1       3     0.16509     0.23892     0.23078  -19.248165174  -26.584663198   -7.336498025
     1       3     0.16943     0.24521     0.23685  -19.236696158  -26.566712832   -7.330016674
     1       3     0.17378     0.25149     0.24293  -19.223099127  -26.548690275   -7.325591148
     1       3     0.17812     0.25778     0.24900  -19.207755265  -26.532785451   -7.325030186
     1       3     0.18247     0.26407     0.25507  -19.190929193  -26.515971519   -7.325042326
     1       3     0.18681     0.27036     0.26115  -19.172922439  -26.497452785   -7.324530346
     1       3     0.19116     0.27664     0.26722  -19.153810202  -26.472406386   -7.318596184
     1       3     0.19550     0.28293     0.27329  -19.133891251  -26.441719276   -7.307828025
     1       3     0.19984     0.28922     0.27937  -19.113195944  -26.413201090   -7.300005146
     1       3     0.20419     0.29551     0.28544  -19.091966103  -26.389020137   -7.297054034
     1       3     0.20853     0.30179     0.29151  -19.071049621  -26.367870017   -7.296820396
     1       3     0.21288     0.30808     0.29759  -19.050647000  -26.347447528   -7.296800527
     1       3     0.21722     0.31437     0.30366  -19.037740319  -26.333640802   -7.295900483
     1       4     0.21722     0.08214     0.15183  -19.020169259  -26.323826709   -7.303657450
     1       4     0.21288     0.08049     0.14879  -19.020118821  -26.323719613   -7.303600792
     1       4     0.20853     0.07885     0.14576  -19.020298242  -26.323717991   -7.303419748
